2020-04-03 17:12:35 startup archives install
2020-04-03 17:12:35 install base-passwd:amd64 <none> 3.5.44
2020-04-03 17:12:35 status half-installed base-passwd:amd64 3.5.44
2020-04-03 17:12:35 status unpacked base-passwd:amd64 3.5.44
2020-04-03 17:12:35 status unpacked base-passwd:amd64 3.5.44
2020-04-03 17:12:35 configure base-passwd:amd64 3.5.44 3.5.44
2020-04-03 17:12:35 status unpacked base-passwd:amd64 3.5.44
2020-04-03 17:12:35 status half-configured base-passwd:amd64 3.5.44
2020-04-03 17:12:36 status installed base-passwd:amd64 3.5.44
2020-04-03 17:12:36 startup archives install
2020-04-03 17:12:36 install base-files:amd64 <none> 10.1ubuntu2
2020-04-03 17:12:36 status half-installed base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 configure base-files:amd64 10.1ubuntu2 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status unpacked base-files:amd64 10.1ubuntu2
2020-04-03 17:12:36 status half-configured base-files:amd64 10.1ubuntu2
2020-04-03 17:12:37 status installed base-files:amd64 10.1ubuntu2
2020-04-03 17:12:37 startup archives install
2020-04-03 17:12:37 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-04-03 17:12:37 status half-configured dpkg 1.19.0.5ubuntu2
2020-04-03 17:12:37 status unpacked dpkg 1.19.0.5ubuntu2
2020-04-03 17:12:37 status half-installed dpkg 1.19.0.5ubuntu2
2020-04-03 17:12:39 status half-installed dpkg 1.19.0.5ubuntu2
2020-04-03 17:12:39 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-04-03 17:12:39 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-04-03 17:12:39 configure dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-04-03 17:12:39 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-04-03 17:12:39 status unpacked dpkg:amd64 1.19.0.5ubuntu2
